C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.01,0.001,0.5,0.0,1.0,268.78281993865966,64.04785346984863
0.01,0.01,0.5,0.0,1.0,269.86580781936647,65.25492677688598
0.01,0.1,0.5,0.0,1.0,272.4558554172516,63.46526761054993
0.01,1.0,0.5,0.0,1.0,254.22001032829286,56.56279463768006
0.01,10.0,0.5,0.0,1.0,258.96525702476504,59.53459897041321
0.01,100.0,0.894727843990428,0.8908169291620073,0.8986387588188489,260.1882152080536,63.34249701499939
0.1,0.001,0.5,0.0,1.0,269.7723821163178,64.47412176132202
0.1,0.01,0.5,0.0,1.0,256.3263699531555,58.6243332862854
0.1,0.1,0.5,0.0,1.0,272.55700330734254,64.78881855010987
0.1,1.0,0.5,0.0,1.0,270.2784316062927,64.61595506668091
0.1,10.0,0.8974257357426811,0.8975135632920264,0.8973379081933359,254.92560381889342,57.57332968711853
0.1,100.0,0.95590179247144,0.9513273007547397,0.9604762841881399,135.81582355499268,32.6551130771637
10.0,0.001,0.5,0.0,1.0,267.8612567424774,64.4153823375702
10.0,0.01,0.5,0.0,1.0,270.3556807041168,63.77425065040588
10.0,0.1,0.8976845016429896,0.8982311951426685,0.8971378081433109,235.6012710571289,54.502042627334596
10.0,1.0,0.9546046419313872,0.9495333998747345,0.9596758839880402,130.2559947490692,29.414832735061644
10.0,10.0,0.9695113274642854,0.9654384153613398,0.9735842395672311,67.9659957408905,13.169796133041382
10.0,100.0,0.981963057148668,0.9782346699765772,0.985691444320759,33.48674726486206,6.047491264343262
100.0,0.001,0.5,0.0,1.0,271.7566460609436,60.94837231636048
100.0,0.01,0.8976442602304173,0.8983508123675488,0.8969377080932859,260.23673272132874,58.35148463249207
100.0,0.1,0.9546046419313872,0.9495333998747345,0.9596758839880402,128.74674854278564,28.640027236938476
100.0,1.0,0.968823203736493,0.9643622178306168,0.9732841896423687,63.261986064910886,12.5120219707489
100.0,10.0,0.9766729617507627,0.9716570810823179,0.9816888424192076,35.37930054664612,6.359038543701172
100.0,100.0,0.9836004419834804,0.9799082386453011,0.9872926453216598,26.205001211166383,4.156360816955567
