C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.01,0.001,0.5,0.0,1.0,173.08215136528014,38.016533327102664
0.01,0.01,0.5,0.0,1.0,166.72582597732543,41.049178218841554
0.01,0.1,0.5,0.0,1.0,165.1106508731842,39.18234763145447
0.01,1.0,0.5,0.0,1.0,159.60647397041322,35.35255694389343
0.01,10.0,0.5,0.0,1.0,171.86851892471313,37.8196485042572
0.01,100.0,0.9058794324536699,0.8883053964313599,0.9234534684759798,136.24546699523927,31.835943365097044
0.1,0.001,0.5,0.0,1.0,171.52022476196288,36.9830825805664
0.1,0.01,0.5,0.0,1.0,156.38477330207826,38.12813091278076
0.1,0.1,0.5,0.0,1.0,174.36293148994446,36.620115995407104
0.1,1.0,0.5,0.0,1.0,173.41720333099366,40.069209814071655
0.1,10.0,0.9098806283905729,0.8938062873044155,0.9259549694767303,124.71129083633423,27.207525062561036
0.1,100.0,0.9591345627172834,0.9510886382940997,0.9671804871404671,75.36351904869079,15.730224752426148
10.0,0.001,0.5,0.0,1.0,169.25131216049195,39.52616496086121
10.0,0.01,0.5,0.0,1.0,169.4607535839081,40.464721822738646
10.0,0.1,0.9105285607808806,0.8950021020600187,0.9260550195017428,126.79966154098511,28.576214218139647
10.0,1.0,0.9578664840802571,0.949653231595535,0.9660797365649791,73.43811426162719,13.629166269302369
10.0,10.0,0.96998133427263,0.9656780788029412,0.9742845897423187,33.89382195472717,5.968412923812866
10.0,100.0,0.9839082866903001,0.981224528609466,0.9865920447711343,17.362900066375733,3.2237386226654055
100.0,0.001,0.5,0.0,1.0,171.75554633140564,39.51509737968445
100.0,0.01,0.9106383944058273,0.8951217192848991,0.9261550695267553,138.97225532531738,30.662249994277953
100.0,0.1,0.9578664840802572,0.949653231595535,0.9660797365649791,63.80037817955017,12.54087266921997
100.0,1.0,0.9695419282742039,0.9651994669061394,0.9738843896422686,36.052576541900635,6.052969026565552
100.0,10.0,0.97653145243839,0.9723747129329599,0.9806881919438197,22.11305923461914,3.5614824295043945
100.0,100.0,0.9852454570492197,0.98289816877683,0.9875927453216097,16.227645492553712,2.361117362976074
