C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.01,0.001,0.5,0.0,1.0,209.5753885269165,45.901129198074344
0.01,0.01,0.5,0.0,1.0,206.12768106460572,46.107151651382445
0.01,0.1,0.5,0.0,1.0,205.72025227546692,44.45227437019348
0.01,1.0,0.5,0.0,1.0,179.056808757782,41.764213943481444
0.01,10.0,0.5,0.0,1.0,208.30201845169069,47.07356672286987
0.01,100.0,0.8986505721908342,0.8757488767563641,0.9215522676253041,180.4418981552124,41.31114811897278
0.1,0.001,0.5,0.0,1.0,208.74142870903015,46.7294536113739
0.1,0.01,0.5,0.0,1.0,193.57510566711426,43.61208462715149
0.1,0.1,0.5,0.0,1.0,193.38114910125734,45.700818872451784
0.1,1.0,0.5,0.0,1.0,205.03550925254822,45.320789861679074
0.1,10.0,0.9025700352924758,0.882086802209022,0.9230532683759296,169.81302099227906,38.79180746078491
0.1,100.0,0.9575638875438675,0.9508491893484188,0.9642785857393161,89.68849501609802,18.758324813842773
10.0,0.001,0.5,0.0,1.0,206.59234490394593,45.64182662963867
10.0,0.01,0.5,0.0,1.0,205.2983449459076,45.92510027885437
10.0,0.1,0.9028592482936466,0.8825651281112634,0.9231533684760297,156.14516792297363,36.74195680618286
10.0,1.0,0.955447933789556,0.948218182390171,0.9626776851889407,90.46741094589234,19.001070261001587
10.0,10.0,0.9708402752654923,0.9663952101631027,0.9752853403678816,43.220241975784305,7.752573490142822
10.0,100.0,0.9830125254735502,0.9788327561009791,0.9871922948461217,24.60759859085083,4.15930290222168
100.0,0.001,0.5,0.0,1.0,205.72432589530945,45.77187175750733
100.0,0.01,0.9028592482936466,0.8825651281112634,0.9231533684760297,171.4292273044586,38.03920650482178
100.0,0.1,0.9553881251771157,0.9480985651652907,0.9626776851889407,82.41622519493103,16.458484649658203
100.0,1.0,0.9702411536268938,0.9657972670359809,0.9746850402178066,43.97245101928711,8.009193515777588
100.0,10.0,0.9766507943804863,0.9726134468922402,0.9806881418687322,26.034715747833253,4.512043190002442
100.0,100.0,0.9846280325466378,0.9814631195714659,0.98779294552181,19.91525545120239,2.9985373973846436
