C,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.0001,0.9632061353887554,0.9660362869898215,0.9603759837876897,0.7222187995910645,0.10522832870483398
0.0002,0.9654573897532472,0.9660361439925413,0.9648786355139531,0.74368896484375,0.11435718536376953
0.0003,0.9667264895787022,0.9668733930680637,0.9665795860893409,0.7682688236236572,0.11539497375488281
0.0004,0.967596664351768,0.9671128420137448,0.9680804866897914,0.7877541065216065,0.11011872291564942
0.0005,0.9677480073391624,0.9665148273879829,0.968981187290342,0.8034776210784912,0.11444988250732421
0.0006,0.9678993503265568,0.9659168127622213,0.9698818878908924,0.8709115982055664,0.1704768180847168
0.0007,0.9678200710504326,0.9655581040848602,0.9700820380160049,0.8653665065765381,0.07358860969543457
0.0008,0.9677103697109901,0.9654387013559003,0.96998203806608,0.8678682327270508,0.019888591766357423
0.0009,0.9676908632979861,0.9651995384047796,0.9701821881911927,0.9062043190002441,0.0241391658782959
0.001,0.9677409240598124,0.9651996099034197,0.9702822382162051,0.9545347213745117,0.020403623580932617
